C6H7               2   412.300     5.549     0.000     0.000     1.000 ! JAM
C6H813             2   412.300     5.549     0.000     0.000     1.000 ! guess
C6H814             2   412.300     5.549     0.000     0.000     1.000 ! guess
C5H5CH3            2   412.300     5.349     0.000     0.000     1.000 ! HR
C5H4O              2   450.000     5.500     0.000     0.000     1.000 !    !
C5H5O              2   450.000     5.500     0.000     0.000     1.000 !    !
C5H4OH             2   450.000     5.500     0.000     0.000     1.000 !    !
C6H5CH             2   450.000     5.549     0.000     0.000     1.000 ! as C6H7
C7H7               2   450.000     5.549     0.000     0.000     1.000 ! cp
C7H8               2   450.000     5.549     0.000     0.000     1.000 ! cp
C6H5O              2   450.000     5.500     0.000     0.000     1.000 ! JAM
C6H4OH             2   450.000     5.500     0.000     0.000     1.000 ! CP=c6h5o!
C6H5OH             2   450.000     5.500     0.000     0.000     1.000 !    !
A1C2H*2            2   450.000     5.646     0.000     0.000     1.000 ! HR
C8H6               2   450.000     5.646     0.000     0.000     1.000 ! cp
C6H5CHCH           2   450.000     5.646     0.000     0.000     1.000 ! HR
C8H7*2             2   450.000     5.646     0.000     0.000     1.000 ! HR
C8H8               2   450.000     5.683     0.000     0.000     1.000 ! cp !
C6H5CO             2   450.000     5.754     0.000     0.000     1.000 ! C7H8O
C8H10              2   450.000     5.719     0.000     0.000     1.000 ! cp
C6H5CHO            2   450.000     5.754     0.000     0.000     1.000 ! C7H8O
C6H3O2             2   450.000     5.500     0.000     0.000     1.000 ! HR
C6H5CH2OH          2   450.000     5.754     0.000     0.000     1.000 ! C7H8O
C7H8O              2   450.000     5.754     0.000     0.000     1.000 !ro=1.8 
C6H5OCH3           2   450.000     5.754     0.000     0.000     1.000 ! C7H8O
OC6H4O2            2   450.000     5.500     0.000     0.000     1.000 ! HR
PC6H4O2            2   450.000     5.500     0.000     0.000     1.000 ! HR
INDENE*            2   402.900     6.744     0.000     0.000     1.000 ! "
C6H5C3H2           2   450.000     5.719     0.000     0.000     1.000 !HR
INDENE             2   402.900     6.744     0.000     0.000     1.000 ! A2 (HR)
C6H3O3             2   450.000     5.500     0.000     0.000     1.000 !  "
A2T1               2   450.000     6.090     0.000     0.000     1.000 ! cp/HR
A2T2               2   450.000     6.090     0.000     0.000     1.000 ! cp/HR
C10H7*1            2   450.000     6.090     0.000     0.000     1.000 ! cp, HR
C10H7*2            2   450.000     6.090     0.000     0.000     1.000 ! cp, HR
C10H8              2   450.000     6.090     0.000     0.000     1.000 ! cp !
A2CH2-1            2   402.900     6.744     0.000     0.000     1.000 ! "
A2CH2-2            2   402.900     6.744     0.000     0.000     1.000 ! "
A2CH3-1            2   402.900     6.744     0.000     0.000     1.000 ! "
A2CH3-2            2   402.900     6.744     0.000     0.000     1.000 ! "
C10H7O-1           2   402.900     6.744     0.000     0.000     1.000 ! "
C10H7O-2           2   402.900     6.744     0.000     0.000     1.000 ! "
C10H7OH-1          2   402.900     6.744     0.000     0.000     1.000 ! "
C10H7OH-2          2   402.900     6.744     0.000     0.000     1.000 ! "
A2C2H-1*2          2   402.900     6.744     0.000     0.000     1.000 ! "
A2C2H-2*1          2   402.900     6.744     0.000     0.000     1.000 ! "
A2C2H-2*3          2   402.900     6.744     0.000     0.000     1.000 ! "
A2C2H-1            2   402.900     6.744     0.000     0.000     1.000 ! "
A2C2H-2            2   402.900     6.744     0.000     0.000     1.000 ! "
A2R5               2   523.400     6.568     0.000     0.000     1.000 ! CJP MS
BIPHEN             2   523.400     6.568     0.000     0.000     1.000 !HR
A2VINP             2   402.900     6.744     0.000     0.000     1.000 ! "
C12H9              2   450.000     6.463     0.000     0.000     1.000 ! cp !
HA2R5              2   523.400     6.568     0.000     0.000     1.000 ! "
BIPHENH            2   523.400     6.568     0.000     0.000     1.000 !HR
A2C2H3-2           2   402.900     6.744     0.000     0.000     1.000 ! "
C12H10             2   450.000     6.477     0.000     0.000     1.000 !ro=1.8!
A2R5H2             2   523.400     6.568     0.000     0.000     1.000 ! "
C6H5OC6H5          2   450.000     6.477     0.000     0.000     1.000 !C12H10, HR
A3*1               2   523.400     6.568     0.000     0.000     1.000 ! A2R5
A3*2               2   523.400     6.568     0.000     0.000     1.000 ! "
A3*4               2   523.400     6.568     0.000     0.000     1.000 ! "
A3*9               2   523.400     6.568     0.000     0.000     1.000 ! "
A3L*1              2   523.400     6.568     0.000     0.000     1.000 ! "
A3L*2              2   523.400     6.568     0.000     0.000     1.000 ! "
A3L*9              2   523.400     6.568     0.000     0.000     1.000 ! "
A3                 2   523.400     6.568     0.000     0.000     1.000 ! A2R5
A3L                2   523.400     6.568     0.000     0.000     1.000 ! A3
A21C6H4            2   776.200     7.407     0.000     0.000     1.000 ! fluor/HR
A22C6H4            2   776.200     7.407     0.000     0.000     1.000 ! fluor/HR
